School Name,City,State,Region,Zip,Latitude,Longitude,Acceptance Rate,Undergrads,Tuition (In-State) ,Average Cost of Attendence,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
University of Kansas,Lawrence,Kansas,Midwestern,66045,38.958549,-95.247567,0.9301,18845,11455,23687,State,42400,81600,44800,57200,115000,156000
Morehead State University,Morehead,Kentucky,Southern,40351,38.186768,-83.434021,0.8556,6647,8496,19454,State,34800,60600,34300,46500,72000,91300
University of Kentucky (UK),Lexington,Kentucky,Southern,40506-0032,38.038911,-84.504747,0.9079,22244,11484,26143,State,42800,78300,43000,57300,107000,149000
Louisiana State University (LSU),Baton Rouge,Louisiana,Southern,70803-2750,30.414986,-91.178921,0.7639,24365,10814,24441,State,46900,87800,43700,61300,120000,165000
Tulane University,New Orleans,Louisiana,Southern,70118-5698,29.940069,-90.122144,0.255,7924,51010,64926,,49100,95800,46500,64400,134000,185000
University of Louisiana (UL) at Lafayette,Lafayette,Louisiana,Southern,70503,30.212191,-92.020165,0.511,15030,9450,18910,State,41100,76300,42000,54500,107000,163000
Bates College,Lewiston,Maine,Northeastern,4240,44.105299,-70.203333,0.2265,1780,50310,64590,Liberal Arts,47300,96500,N/A,60700,162000,N/A
Bowdoin College,Brunswick,Maine,Northeastern,4011,43.907134,-69.963942,0.1484,1799,49900,63440,Liberal Arts,48100,107000,N/A,74600,146000,N/A
Colby College,Waterville,Maine,Northeastern,04901-8840,44.564211,-69.66337,0.1871,1879,50960,63330,Liberal Arts,46400,85800,N/A,63500,129000,N/A
University Of Maine,Orono,Maine,Northeastern,4469,44.899257,-68.669332,0.8975,8757,10628,22904,State,41200,72100,41700,55600,99300,141000
University of Southern Maine,Portland,Maine,Northeastern,4103,43.662863,-70.274247,0.8025,5233,7796,21508,State,39400,63600,40400,47900,85700,117000
University of Maryland Baltimore County (UMBC),Baltimore,Maryland,Southern,21250,39.256686,-76.711607,0.5683,11025,11264,23818,State,47000,77800,46900,59100,105000,130000
"University of Maryland, College Park",College Park,Maryland,Southern,20742,38.988178,-76.944721,0.4806,27864,10181,24041,State,52000,95000,50400,68300,126000,166000
Amherst College,Amherst,Massachussetts,Northeastern,01002-5000,42.372459,-72.518493,0.1369,1846,52476,66572,Liberal Arts,54500,107000,N/A,84900,162000,N/A
Boston College,Chestnut Hill,Massachussetts,Northeastern,2467,42.336213,-71.169242,0.3114,9593,51296,65595,,52700,103000,48900,70000,143000,195000
Boston University,Boston,Massachussetts,Northeastern,2215,42.351118,-71.107942,0.2943,16512,50240,65809,,49000,93900,48000,64900,130000,193000
College of the Holy Cross,Worcester,Massachussetts,Northeastern,01610-2395,42.238942,-71.808627,0.3846,2689,48940,61446,Liberal Arts,50200,106000,N/A,65600,143000,N/A
Fitchburg State College,Fitchburg,Massachussetts,Northeastern,01420-2697,42.589345,-71.789354,0.7465,4073,10135,19645,State,42400,72600,43300,56100,99600,151000
Harvard University,Cambridge,Massachussetts,Northeastern,2138,42.374471,-71.118313,0.054,7447,47074,64400,Ivy League,63400,124000,54800,86200,179000,288000
Massachusetts Institute of Technology (MIT),Cambridge,Massachussetts,Northeastern,02139-4307,42.360095,-71.092115,0.0794,4489,48452,63250,Engineering,72200,126000,76800,99200,168000,220000
Mount Holyoke College,South Hadley,Massachussetts,Northeastern,01075-1489,42.256838,-72.575511,0.5219,2179,45866,58604,Liberal Arts,42400,94200,N/A,57100,131000,N/A
Northeastern University,Boston,Massachussetts,Northeastern,02115-5005,42.339992,-71.088782,0.2888,13345,47653,62789,,50500,86400,47100,62700,117000,159000
Smith College,Northampton,Massachussetts,Northeastern,1063,42.318111,-72.638097,0.3723,2504,47904,64483,Liberal Arts,44000,83900,45100,59800,129000,184000
Suffolk University,Boston,Massachussetts,Northeastern,02108-2770,42.358944,-71.061788,0.8442,5107,35578,48936,,42100,74000,48700,57800,95100,145000
University of Massachusetts (UMass) - Amherst,Amherst,Massachussetts,Northeastern,1003,42.385999,-72.526728,0.5968,22958,14971,28000,State,46600,88200,43100,61300,122000,168000
University of Massachusetts (UMass) - Boston,Boston,Massachussetts,Northeastern,02125-3393,42.312881,-71.036865,0.6852,12210,13435,21884,State,45600,78200,36300,53800,109000,151000
University of Massachusetts (UMass) - Dartmouth,North Dartmouth,Massachussetts,Northeastern,02747-2300,41.62869,-71.004552,0.7602,6758,13188,25410,State,43200,77700,43300,56200,107000,132000
University of Massachusetts (UMass) - Lowell,Lowell,Massachussetts,Northeastern,01854-5104,42.652864,-71.326809,0.6057,12909,14307,26318,State,45400,86600,50900,65000,113000,158000
Wellesley College,Wellesley,Massachussetts,Northeastern,02481-8203,42.291554,-71.306605,0.2859,2350,48802,63340,Liberal Arts,42800,83500,N/A,58600,125000,N/A
Wentworth Institute of Technology,Boston,Massachussetts,Northeastern,2115,42.336632,-71.094983,0.7058,4274,33724,49642,Engineering,53000,96700,55200,74000,117000,153000
Williams College,Williamstown,Massachussetts,Northeastern,1267,42.712725,-73.203132,0.1761,2044,51790,66240,Liberal Arts,51700,102000,N/A,76400,143000,N/A
Worcester Polytechnic Institute (WPI),Worcester,Massachussetts,Northeastern,01609-2280,42.274853,-71.808339,0.4844,4320,46994,60878,Engineering,61000,114000,80000,91200,137000,180000
Davenport University,Grand Rapids,Michigan,Midwestern,49512-9396,42.850013,-85.533519,0.7836,5398,16726,27175,,39700,46600,31600,38100,65600,85700
Eastern Michigan University,Ypsilanti,Michigan,Midwestern,48197,42.24694,-83.622501,0.7288,17025,11209,21828,State,40300,72100,37900,52800,95400,135000
Michigan State University (MSU),East Lansing,Michigan,Midwestern,48824-1046,42.73212,-84.476111,0.6574,38851,14062,25809,State,46300,85300,44200,61500,119000,170000
